 Range of Compensation ,,, Monthly Salary Credit , Employer - Employee ,,,,,,, SE / VM / OFW 
,,,, SOCIAL SECURITY ,,, EC , Total Contribution ,,, Total Contribution 
,,,, ER , EE , TOTAL , ER , ER , EE , Total ,
"1,000.00", - ,"1,249.99","1,000.00",70.7,33.3,260,10,80.7,33.3,114,104
"1,250.00", - ,"1,749.99","1,500.00",106,50,156,10,116,50,166,156
"1,750.00", - ,"2,249.99","2,000.00",141.3,66.7,208,10,151.3,66.7,218,208
"2,250.00", - ,"2,749.99","2,500.00",176.7,83.3,260,10,186.7,83.3,270,260
"2,750.00", - ,"3,249.99","3,000.00",212,100,312,10,222,100,322,312
"3,250.00", - ,"3,749.99","3,500.00",247.3,116.7,364,10,257.3,116.7,374,364
"3,750.00", - ,"4,249.99","4,000.00",282.7,133.3,416,10,292.7,133.3,426,416
"4,250.00", - ,"4,749.99","4,500.00",318,150,468,10,328,150,478,468
"4,750.00", - ,"5,249.99","5,000.00",353.3,166.7,520,10,363.3,166.7,530,520
"5,250.00", - ,"5,749.99","5,500.00",388.7,183.3,572,10,398.7,183.3,582,572
"5,750.00", - ,"6,249.99","6,000.00",424,200,624,10,434,200,634,624
"6,250.00", - ,"6,749.99","6,500.00",459.3,216.7,676,10,469.3,216.7,686,676
"6,750.00", - ,"7,249.99","7,000.00",494.7,233.3,728,10,504.7,233.3,738,728
"7,250.00", - ,"7,749.99","7,500.00",530,250,780,10,540,250,790,780
"7,750.00", - ,"8,249.99","8,000.00",565.3,266.7,832,10,575.3,266.7,842,832
"8,250.00", - ,"8,749.99","8,500.00",600.7,283.3,884,10,610.7,283.3,894,884
"8,750.00", - ,"9,249.99","9,000.00",636,300,936,10,646,300,946,936
"9,250.00", - ,"9,749.99","9,500.00",671.3,316.7,988,10,681.3,316.7,998,988
"9,750.00", - ,"10,249.99","10,000.00",706.7,333.3,"1,040.00",10,716.7,333.3,"1,050.00","1,040.00"
"10,250.00", - ,"10,749.99","10,500.00",742,350,"1,092.00",10,752,350,"1,102.00","1,092.00"
"10,750.00", - ,"11,249.99","11,000.00",777.3,366.7,"1,144.00",10,787.3,366.7,"1,154.00","1,144.00"
"11,250.00", - ,"11,749.99","11,500.00",812.7,383.3,"1,196.00",10,822.7,383.3,"1,206.00","1,196.00"
"11,750.00", - ,"12,249.99","12,000.00",848,400,"1,248.00",10,858,400,"1,258.00","1,248.00"
"12,250.00", - ,"12,749.99","12,500.00",883.3,416.7,"1,300.00",10,893.3,416.7,"1,310.00","1,300.00"
"12,750.00", - ,"13,249.99","13,000.00",918.7,433.3,"1,352.00",10,928.7,433.3,"1,362.00","1,352.00"
"13,250.00", - ,"13,749.99","13,500.00",954,450,"1,404.00",10,964,450,"1,414.00","1,404.00"
"13,750.00", - ,"14,249.99","14,000.00",989.3,466.7,"1,456.00",10,999.3,466.7,"1,466.00","1,456.00"
"14,250.00", - ,"14,749.99","14,500.00","1,024.70",483.3,"1,508.00",10,"1,034.70",483.3,"1,518.00","1,508.00"
"14,750.00", - ,"30,000.00","15,000.00","1,060.00",500,"1,560.00",30,"1,090.00",500,"1,590.00","1,560.00"
